"day","temp_min","tem_avg","temp_max","temp_diff","precip_mm","month","year"
"1","-11.8","-6.7","-1.0","-2.0","0.0",3,2001
"2","-11.8","-6.5","-1.4","-2.0","0.0",3,2001
"3","-1.8","-0.3","1.0","+4.0","7.2",3,2001
"4","-2.2","-0.3","1.1","+3.8","1.1",3,2001
"5","-3.7","-2.0","0.9","+1.9","8.2",3,2001
"6","-6.9","-3.7","0.2","0.0","0.0",3,2001
"7","-4.8","-1.6","2.0","+1.9","0.6",3,2001
"8","-5.8","-4.0","-0.5","-0.7","1.5",3,2001
"9","-13.0","-6.7","-1.0","-3.6","0.0",3,2001
"10","-6.3","-2.7","1.0","+0.2","1.1",3,2001
"11","0.0","1.9","4.4","+4.5","0.8",3,2001
"12","1.3","2.9","4.9","+5.3","0.1",3,2001
"13","2.0","3.4","5.5","+5.6","0.0",3,2001
"14","2.2","5.7","11.4","+7.7","0.0",3,2001
"15","2.8","4.1","6.4","+5.8","0.1",3,2001
"16","1.7","2.5","4.0","+4.0","15.1",3,2001
"17","0.2","1.1","2.4","+2.4","6.4",3,2001
"18","-2.7","-0.3","2.8","+0.7","0.4",3,2001
"19","-7.8","-3.2","0.0","-2.4","0.0",3,2001
"20","-9.0","-2.7","2.2","-2.2","0.1",3,2001
"21","-3.6","-1.0","2.1","-0.7","4.9",3,2001
"22","-8.7","-5.0","-1.4","-5.0","0.0",3,2001
"23","-7.0","-3.7","-0.6","-3.9","0.3",3,2001
"24","-9.7","-4.5","0.5","-5.0","0.0",3,2001
"25","-10.6","-5.2","-1.5","-5.9","0.0",3,2001
"26","-9.9","-4.7","-0.4","-5.7","0.0",3,2001
"27","-9.0","-5.4","-2.0","-6.6","0.0",3,2001
"28","-9.1","-6.1","-2.5","-7.6","0.0",3,2001
"29","-9.5","-5.1","-1.0","-6.9","0.0",3,2001
"30","-10.4","-5.6","-0.9","-7.6","0.0",3,2001
"31","-8.5","-0.5","7.4","-2.8","0.0",3,2001
