"day","temp_min","temp_avg","temp_max","temp_diff","precip_mm","month","year"
"1","11.6","19.5","26.4","+4.0","0.0",6,2014
"2","14.5","21.6","28.6","+6.0","0.0",6,2014
"3","15.1","23.0","30.3","+7.3","0.0",6,2014
"4","16.0","23.6","30.5","+7.7","0.0",6,2014
"5","17.5","23.8","31.0","+7.8","0.0",6,2014
"6","16.8","24.0","29.8","+7.9","0.0",6,2014
"7","13.2","21.2","27.5","+5.0","0.4",6,2014
"8","17.9","22.3","28.9","+6.0","0.0",6,2014
"9","15.5","19.6","24.7","+3.1","5.6",6,2014
"10","14.9","17.1","20.5","+0.5","7.0",6,2014
"11","13.3","14.7","16.8","-2.0","17.0",6,2014
"12","10.8","11.9","13.3","-4.9","2.9",6,2014
"13","10.3","13.8","18.1","-3.1","0.0",6,2014
"14","10.3","14.7","19.7","-2.4","0.0",6,2014
"15","11.8","15.8","19.7","-1.4","2.0",6,2014
"16","8.6","12.9","17.2","-4.4","0.7",6,2014
"17","10.6","14.4","18.5","-3.0","0.0",6,2014
"18","9.9","13.5","17.5","-4.0","0.0",6,2014
"19","7.2","11.0","15.4","-6.6","0.3",6,2014
"20","10.0","15.5","21.7","-2.2","0.0",6,2014
"21","12.8","16.7","23.9","-1.2","4.0",6,2014
"22","13.3","15.5","20.6","-2.5","17.0",6,2014
"23","10.5","15.5","20.9","-2.6","0.7",6,2014
"24","11.0","14.4","19.5","-3.8","3.0",6,2014
"25","9.0","13.9","20.5","-4.4","4.0",6,2014
"26","8.3","12.5","16.3","-5.9","6.0",6,2014
"27","7.9","12.0","16.4","-6.5","2.0",6,2014
"28","10.0","11.0","12.5","-7.6","22.0",6,2014
"29","7.7","9.0","11.7","-9.7","25.0",6,2014
"30","5.2","13.8","22.5","-5.0","0.0",6,2014
